Date	Friday, May 01, 2009,  12:36:07 PM
SystemName	Pathway
Well	Well D11
Plate	96 Well BD Falcon Imaging [353219]
Brand	BD Falcon
Wells	96
Objective	20X NA 075 Olympus Confocal
Offset	858993459
ZRelativeDisplacement	200.000000
Gain	15
SamplingRate Hz	12000
StartingFocusPosition microns	5401.570000
SearchSpan microns	2000.000000
DataPointsGathered	2000
Algorithm	DoubleThreshold
UseRollingAverageWidth	0
RollingAverageWidth	20
InFocusIndex	940



---DATA TABLE---
Index	Position	Intensity	InFocusPosition	SmoothedData
272	-216	0.164645		
273	-220	0.166751		
274	-223	0.166913		
275	-227	0.168532		
276	-230	0.166589		
277	-234	0.167398		
278	-237	0.173552		
279	-241	0.152500		
280	-244	0.168370		
281	-248	0.168694		
282	-251	0.167884		
283	-255	0.169342		
284	-258	0.167722		
285	-262	0.167074		
286	-266	0.165131		
287	-269	0.164483		
288	-273	0.168370		
289	-277	0.168532		
290	-280	0.167722		
291	-284	0.182621		
292	-287	0.169180		
293	-291	0.168370		
294	-295	0.172580		
295	-298	0.168694		
296	-302	0.167398		
297	-306	0.167560		
298	-309	0.166589		
299	-313	0.169180		
300	-316	0.171285		
301	-319	0.169827		
302	-323	0.186669		
303	-326	0.169504		
304	-330	0.176305		
305	-333	0.170151		
306	-337	0.169018		
307	-340	0.168046		
308	-344	0.169180		
309	-347	0.171609		
310	-350	0.171609		
311	-354	0.172256		
312	-357	0.172904		
313	-360	0.167398		
314	-363	0.170799		
315	-367	0.173390		
316	-370	0.168370		
317	-374	0.169342		
318	-377	0.172742		
319	-380	0.171933		
320	-384	0.172742		
321	-387	0.172580		
322	-390	0.171609		
323	-394	0.170637		
324	-397	0.172418		
325	-401	0.169504		
326	-404	0.179868		
327	-408	0.189098		
328	-412	0.165293		
329	-415	0.168856		
330	-419	0.170637		
331	-422	0.171609		
332	-426	0.170799		
333	-430	0.173876		
334	-433	0.169665		
335	-437	0.170151		
336	-441	0.173228		
337	-444	0.181973		
338	-448	0.170313		
339	-451	0.172256		
340	-456	0.172418		
341	-459	0.170313		
342	-463	0.169989		
343	-467	0.170637		
344	-471	0.171447		
345	-475	0.171771		
346	-478	0.172418		
347	-482	0.171609		
348	-486	0.174362		
349	-490	0.172904		
350	-494	0.172580		
351	-498	0.174200		
352	-502	0.173552		
353	-506	0.171123		
354	-510	0.173228		
355	-514	0.172256		
356	-518	0.172580		
357	-522	0.173390		
358	-526	0.175009		
359	-530	0.174524		
360	-534	0.174038		
361	-538	0.175171		
362	-542	0.176305		
363	-546	0.175657		
364	-549	0.174686		
365	-553	0.176143		
366	-557	0.176791		
367	-560	0.175819		
368	-564	0.175333		
369	-568	0.175495		
370	-572	0.177115		
371	-575	0.175657		
372	-579	0.175333		
373	-582	0.175009		
374	-586	0.172904		
375	-590	0.177277		
376	-593	0.178086		
377	-597	0.175009		
378	-600	0.177115		
379	-604	0.177762		
380	-608	0.175819		
381	-612	0.177439		
382	-615	0.175333		
383	-619	0.176467		
384	-622	0.177277		
385	-626	0.172256		
386	-630	0.175009		
387	-634	0.165779		
388	-637	0.177924		
389	-641	0.176305		
390	-645	0.176791		
391	-649	0.177762		
392	-653	0.176629		
393	-657	0.177439		
394	-660	0.176143		
395	-664	0.175333		
396	-668	0.175495		
397	-673	0.177115		
398	-677	0.161407		
399	-681	0.175171		
400	-685	0.177115		
401	-689	0.178410		
402	-693	0.176791		
403	-697	0.179220		
404	-702	0.177277		
405	-706	0.178086		
